6444,6485,5917,6626,9626,10489,7145,12552,10418,11513,5467,14736,9985,11328,4250,13658,3863,4713,800,8189,6362,6021,2354,9647,5627,5486,5483,5453,6148,6092,6061,5946,3803,3814,3674,4004,1419,1572,3877,5889,3725,3847,3716,3182,1556,2005,1801,1665,1397,1844,1635,1689,
4878080,4976112,4846951,5312368,7804680,8466755,5252255,10960494,8627500,9588913,215566,13126515,8271140,9241785,199492,11896631,2932900,3528786,20497,7048784,5026531,4498945,123108,7942662,19182,18976,18577,18353,174699,174808,172060,175533,211787,298398,164620,171707,114734,145754,2395794,3555632,263794,316925,314587,286915,102655,302447,89387,96030,81949,289762,74200,94614,
5196582,5309225,5171339,5659094,8335420,8984367,5603472,11681728,9172438,10198648,223744,14004147,8804654,9820410,207702,12719959,3142000,3757614,21572,7508969,5285716,4709864,130076,8372445,20457,18943,19031,19343,179057,179095,180538,178535,209947,296314,167912,176944,115869,157360,2535278,3787731,273187,325870,326691,292796,133503,310286,92128,98067,89085,298508,77998,93882,
5523622,5641752,5484522,6023449,8860753,9570521,5996968,12415203,9780116,10828384,227606,14877930,9360334,10421153,212309,13479952,3348643,3985684,21775,7998542,5590584,4999815,130634,8899309,21030,20022,19269,19085,187078,183113,185416,186388,214315,314223,177269,182403,120097,165538,2698923,4017906,283523,338569,337762,302926,116131,297019,95741,107568,93285,311225,79502,99893,
5860928,5973092,5829254,6386400,9418649,10147858,6323759,13171363,10383143,11518143,232472,15789381,9947378,11079573,218029,14301744,3579872,4230016,22912,8474304,6019331,5307212,136877,9443061,21598,20571,20198,20064,192045,191834,189160,192121,231014,318276,179254,189414,126687,171985,2846953,4265503,294480,347289,346942,316834,120279,317835,96808,108684,97917,320971,83016,98768,
6206670,6332731,6175571,6777599,10001797,10752795,6760261,14229246,11087705,12208614,244196,16721383,10563612,11749967,230526,15155148,3795943,4496073,26165,8975401,6443237,5602912,141702,10001744,22046,20774,19850,20069,199133,195973,194778,197920,239358,326544,186759,191094,136901,184656,3053208,4606403,301924,368225,361484,332099,120596,322727,101263,111365,102524,339986,86770,107436,
6667887,6809916,6640074,7287549,10764617,11565249,7214342,15063612,11856588,13126204,252473,18014509,11333144,12372153,235434,16024767,3997568,4731658,25107,9496251,6736735,5945381,145761,10573431,22250,20913,20526,21096,202685,204972,203214,201540,240358,336159,193592,200216,142742,188219,3200847,4785123,308815,372655,371620,333822,139475,361453,100167,113230,106737,345223,89260,107502,
6919945,7056084,6890030,7568097,11125313,11977037,7466134,15637846,12371332,13596200,255439,18712245,11776247,13068662,242438,16936694,4231981,4996830,24636,10027251,7130129,6274512,150817,11168459,22340,21502,20908,20887,207999,209556,206278,208090,251252,368589,200744,205945,134384,195651,3379163,5025238,316954,385393,379273,342780,126527,341926,104399,118353,109964,357751,91881,111796,
7313767,7436435,7271365,7969726,11728161,12601071,7887134,16452205,12945804,14310736,264138,19713871,12396067,13766325,246657,17927328,4463194,5259239,26437,10596437,7493910,6603296,156700,11781737,23161,22321,21109,21326,216680,214019,213463,213813,268969,365966,205286,212904,138360,206025,3526616,5330433,327368,395936,389313,356053,132440,354471,106889,123772,115737,370122,94646,113785,
7708862,7835000,7669062,8531003,12591183,13262315,8295185,17325390,13640323,15051109,269983,20756984,13068835,14473958,252400,18813217,4708668,5531889,26902,11157981,7839352,7007636,159305,12406090,23294,23148,22359,22624,218233,219018,219545,218570,267195,379819,215028,225456,147657,210606,3756312,5602708,340196,410075,398925,363704,132103,360585,109181,128390,121131,376226,100344,119506,
8094638,8225035,8050657,8829869,12979964,13998691,8902347,18473556,14340893,15865254,277428,-21084869,13727466,15273473,259909,19803755,4933639,5834198,30570,11729920,8174146,7403655,166405,13030906,24932,23230,22576,22252,222430,224618,224658,224647,278633,395195,224827,227027,152244,220837,3899106,6036904,364140,427633,417937,383453,168893,398866,114622,128535,128914,397681,102121,122514,
8648412,8788236,8600740,9448891,13668332,14678173,9162560,19149823,15055588,16932947,290171,-19656262,14399119,16031683,265693,20792703,5182342,6121200,32456,12314623,8605379,7676001,170646,13694391,24907,23354,22481,23336,230346,231120,230885,231000,282903,417132,227762,235486,148272,221542,4115101,6184114,359412,432671,421121,386490,179743,465268,129832,134971,129317,402278,103403,122552,
